[09-04-23 23:47:52.642] LOG  : General     , 1681076872642> 1681076872642 fmod: FMOD::Studio::System::create() result: No errors..
[09-04-23 23:47:52.642] LOG  : General     , 1681076872642> 1681076872642 fmod: FMOD::Studio::System::getCoreSystem() result: No errors..
[09-04-23 23:47:52.643] LOG  : General     , 1681076872643> 1681076872643 fmod: FMOD_System_GetVersion() result: No errors..
[09-04-23 23:47:52.643] LOG  : General     , 1681076872643> 1681076872643 fmod: fmodintegration built with version 20206, fmod shared library version 20206.
[09-04-23 23:47:52.643] LOG  : General     , 1681076872643> 1681076872643 fmod: System Create: OK.
[09-04-23 23:47:52.644] LOG  : General     , 1681076872644> 1681076872644 fmod: FMOD_System_SetSoftwareFormat() result: No errors..
[09-04-23 23:47:52.652] LOG  : General     , 1681076872652> closest width=640 freq=59.
[09-04-23 23:47:52.652] LOG  : General     , 1681076872652> closest width=640 freq=60.
[09-04-23 23:47:52.652] LOG  : General     , 1681076872652> closest width=640 freq=100.
[09-04-23 23:47:52.652] LOG  : General     , 1681076872652> closest width=640 freq=119.
[09-04-23 23:47:52.653] LOG  : General     , 1681076872653> closest width=640 freq=120.
[09-04-23 23:47:52.653] LOG  : General     , 1681076872653> closest width=640 freq=144.
[09-04-23 23:47:52.653] LOG  : General     , 1681076872653> closest width=640 freq=165.
[09-04-23 23:47:52.653] LOG  : General     , 1681076872653> closest width=720 freq=59.
[09-04-23 23:47:52.653] LOG  : General     , 1681076872653> closest width=720 freq=60.
[09-04-23 23:47:52.654] LOG  : General     , 1681076872654> closest width=720 freq=100.
[09-04-23 23:47:52.654] LOG  : General     , 1681076872654> closest width=720 freq=119.
[09-04-23 23:47:52.654] LOG  : General     , 1681076872654> closest width=720 freq=120.
[09-04-23 23:47:52.654] LOG  : General     , 1681076872654> closest width=720 freq=144.
[09-04-23 23:47:52.654] LOG  : General     , 1681076872654> closest width=720 freq=165.
[09-04-23 23:47:52.655] LOG  : General     , 1681076872655> closest width=800 freq=60.
[09-04-23 23:47:52.655] LOG  : General     , 1681076872655> closest width=800 freq=100.
[09-04-23 23:47:52.655] LOG  : General     , 1681076872655> closest width=800 freq=119.
[09-04-23 23:47:52.655] LOG  : General     , 1681076872655> closest width=800 freq=120.
[09-04-23 23:47:52.655] LOG  : General     , 1681076872655> closest width=800 freq=144.
[09-04-23 23:47:52.655] LOG  : General     , 1681076872655> closest width=800 freq=165.
[09-04-23 23:47:52.656] LOG  : General     , 1681076872656> closest width=1176 freq=59.
[09-04-23 23:47:52.656] LOG  : General     , 1681076872656> closest width=1176 freq=60.
[09-04-23 23:47:52.656] LOG  : General     , 1681076872656> closest width=1280 freq=59.
[09-04-23 23:47:52.656] LOG  : General     , 1681076872656> closest width=1280 freq=60.
[09-04-23 23:47:52.656] LOG  : General     , 1681076872656> closest width=1280 freq=100.
[09-04-23 23:47:52.656] LOG  : General     , 1681076872656> closest width=1280 freq=119.
[09-04-23 23:47:52.657] LOG  : General     , 1681076872657> closest width=1280 freq=120.
[09-04-23 23:47:52.657] LOG  : General     , 1681076872657> closest width=1280 freq=144.
[09-04-23 23:47:52.657] LOG  : General     , 1681076872657> closest width=1280 freq=165.
[09-04-23 23:47:52.657] LOG  : General     , 1681076872657> closest width=1360 freq=60.
[09-04-23 23:47:52.658] LOG  : General     , 1681076872658> closest width=1360 freq=100.
[09-04-23 23:47:52.658] LOG  : General     , 1681076872658> closest width=1360 freq=119.
[09-04-23 23:47:52.658] LOG  : General     , 1681076872658> closest width=1360 freq=120.
[09-04-23 23:47:52.658] LOG  : General     , 1681076872658> closest width=1360 freq=144.
[09-04-23 23:47:52.658] LOG  : General     , 1681076872658> closest width=1360 freq=165.
[09-04-23 23:47:52.659] LOG  : General     , 1681076872659> closest width=1366 freq=60.
[09-04-23 23:47:52.659] LOG  : General     , 1681076872659> closest width=1366 freq=100.
[09-04-23 23:47:52.659] LOG  : General     , 1681076872659> closest width=1366 freq=119.
[09-04-23 23:47:52.659] LOG  : General     , 1681076872659> closest width=1366 freq=120.
[09-04-23 23:47:52.660] LOG  : General     , 1681076872660> closest width=1366 freq=144.
[09-04-23 23:47:52.660] LOG  : General     , 1681076872660> closest width=1366 freq=165.
[09-04-23 23:47:52.660] LOG  : General     , 1681076872660> closest width=1440 freq=60.
[09-04-23 23:47:52.660] LOG  : General     , 1681076872660> closest width=1440 freq=100.
[09-04-23 23:47:52.660] LOG  : General     , 1681076872660> closest width=1440 freq=119.
[09-04-23 23:47:52.661] LOG  : General     , 1681076872661> closest width=1440 freq=120.
[09-04-23 23:47:52.661] LOG  : General     , 1681076872661> closest width=1440 freq=144.
[09-04-23 23:47:52.661] LOG  : General     , 1681076872661> closest width=1440 freq=165.
[09-04-23 23:47:52.661] LOG  : General     , 1681076872661> closest width=1600 freq=60.
[09-04-23 23:47:52.661] LOG  : General     , 1681076872661> closest width=1600 freq=100.
[09-04-23 23:47:52.661] LOG  : General     , 1681076872661> closest width=1600 freq=119.
[09-04-23 23:47:52.662] LOG  : General     , 1681076872662> closest width=1600 freq=120.
[09-04-23 23:47:52.662] LOG  : General     , 1681076872662> closest width=1600 freq=144.
[09-04-23 23:47:52.662] LOG  : General     , 1681076872662> closest width=1600 freq=165.
[09-04-23 23:47:52.662] LOG  : General     , 1681076872662> closest width=1680 freq=59.
[09-04-23 23:47:52.662] LOG  : General     , 1681076872662> closest width=1680 freq=60.
[09-04-23 23:47:52.663] LOG  : General     , 1681076872663> closest width=1680 freq=100.
[09-04-23 23:47:52.663] LOG  : General     , 1681076872663> closest width=1680 freq=119.
[09-04-23 23:47:52.663] LOG  : General     , 1681076872663> closest width=1680 freq=120.
[09-04-23 23:47:52.663] LOG  : General     , 1681076872663> closest width=1680 freq=144.
